,demographic_hist_bott,demographic_hist_exp,evergreen_rainforest,central_highlands,dry_deciduous_forest,arid_spiny_bush,GDM_1,GDM_2,GDM_3,GDM_4,alt_mean,alt_var,alt_stat_range,alt_index
0,0,1,1,1,0,0,1,1,0,0,1181,61635,824,52
1,0,1,1,1,0,0,1,0,0,0,710,24956,294,35
2,1,0,1,1,0,0,1,1,1,0,579,99771,969,172
3,1,0,1,1,0,0,1,1,0,0,749,262281,993,350
4,0,1,1,1,1,1,1,1,0,1,523,251517,1264,481
5,0,1,1,0,1,0,1,1,1,1,82,15698,298,191
6,0,1,0,1,1,0,0,0,1,0,202,41761,625,206
7,0,1,1,1,0,0,1,0,0,0,659,330962,1206,502
8,1,0,1,0,1,1,1,0,1,1,87,7244,202,84
9,1,0,1,1,1,1,1,0,1,1,212,140717,1442,665
10,0,1,1,1,1,0,1,0,1,1,293,65217,752,223
11,0,1,1,0,1,0,0,1,1,0,171,88750,1168,518
12,1,0,1,1,1,0,1,0,1,0,423,184619,952,437
13,0,1,1,0,1,0,1,1,1,0,317,150645,1109,476
14,1,0,0,1,0,0,1,0,0,0,1062,254361,988,239
15,1,0,0,1,0,0,1,0,0,0,1538,32220,359,21
16,0,1,0,1,0,0,1,1,0,0,1315,65882,793,50
17,0,1,1,1,1,0,0,0,1,0,130,29718,516,228
18,0,1,1,0,1,0,1,0,0,1,177,10000,200,56
19,1,0,1,1,1,0,1,1,1,0,445,98237,794,221
20,1,0,1,1,1,0,0,0,1,0,159,44467,1006,279
21,0,1,1,1,1,1,1,1,0,1,440,319014,1608,725
22,0,1,1,1,1,1,1,0,0,1,393,303156,1613,770
23,0,1,1,1,1,0,0,0,1,0,165,70938,963,430
24,0,1,1,1,0,0,1,0,0,0,632,232747,1094,369
25,1,0,1,1,0,0,1,0,0,0,218,30535,434,140
26,0,1,1,1,0,0,1,1,0,0,737,103811,786,141
27,1,0,1,0,0,0,1,0,0,0,161,8449,209,52
28,0,1,1,1,0,0,1,1,1,0,629,121708,959,193
29,0,1,1,1,1,0,1,1,0,0,634,192810,1067,304
30,1,0,1,1,0,0,1,0,0,0,796,209254,1215,263
31,0,1,1,1,0,0,1,1,0,1,865,150626,1506,174
32,0,1,1,1,0,0,1,0,0,0,874,88530,1080,101
